,stock_index,stock_name,nr_comments
315,GME,GameStop,43447
0,A,Agilent Technologies,10428
596,PLTR,Palantir,6702
206,DD,DuPont,6074
628,RH,Restoration Hardware...Holdings,5485
371,IBKR,Interactive Brokers,3608
738,TV,Grupo Televisa S.A.B,3327
410,JPM,JPMorgan,3229
31,AMC,AMC,3147
443,LP,Antero Midstream Par,1361
83,BB,BlackBerry,1287
135,CAT,Caterpillar,1150
396,IT,Gartner,748
20,AI,C3.ai Inc,707
32,AMD,Advanced Micro Devic,489
363,HST,Host Hotels & Resorts,481
732,TSLA,Tesla,454
560,ON,ON Semiconductor,407
26,ALL,Allstate,333
629,RKT,Rocket Companies,310
733,TSM,Taiwan Semiconducto,282
521,NIO,NIO,274
259,ET,Energy Transfer Equit,235
2,AAL,American Airlines,235
605,PSA,Public Storage,210
269,F,Ford,209
128,C,Citigroup,208
140,CCL,Carnival,206
320,GO,Grocery Outlet Holding,194
4,AAPL,Apple,181
640,RUN,Sunrun,150
531,NOW,ServiceNow,138
707,TD,Toronto-Dominion Bar,138
386,INTC,Intel,135
749,UAL,United Continental Ho,133
798,WKHS,Workhorse Group Inc,126
39,AMZN,Amazon,119
511,NAVI,Navient Corporation,117
330,GS,Goldman Sachs,117
665,SLM,SLM Corporation,117
458,M,Macy's,108
735,TTD,Trade Desk,108
547,NVTA,Invitae Corporation,104
824,Z,Zillow Group,104
727,TPX,Tempur Sealy,99
811,X,United States Steel,95
440,LOGI,Logitech International,93
201,D,Dominion Energy,87
736,TTM,Tata Motors,78
372,IBM,IBM,75
545,NVDA,Nvidia,75
505,MU,Micron Technology,75
160,CLF,Cleveland-Cliffs Inc.,74
138,CC,Chemours Company;,74
402,JBLU,JetBlue Airways,67
607,PSX,Phillips 66,66
336,HAS,Hasbro,66
520,NICE,NICE Systems,64
533,NRG,NRG Energy,58
272,FB,Facebook,54
329,GRUB,GrubHub,54
204,DASH,DoorDash Inc,54
597,PLUG,Plug Power,52
741,TWO,Two Harbors Investme,51
648,SCCO,Southern Copper,49
76,BA,Boeing,49
528,NOAH,Noah Holdings Limite,45
250,EPAM,EPAM Systems,45
465,MCD,McDonaldâ€™s,43
424,KO,Coca-Cola,43
617,QSR,Restaurant Brands...International,43
821,YUM,Yum!,43
680,SPOT,Spotify,43
672,SNOW,Snowflake,43
790,WDC,Western Digital,41
746,U,Unity Software,40
801,WMT,Walmart,38
604,PS,Pluralsight,38
792,WEN,Wendy's Company,37
294,FSLY,Fastly,37
718,TIGR,UP Fintech,37
561,OPK,Opko Health,36
438,LMT,Lockheed Martin,33
211,DG,Dollar General,30
514,NCLH,Norwegian Cruise Line...Holdings,29
621,RCL,Royal Caribbean Cruis,29
516,NEE,NextEra Energy,27
781,VST,Vistra Energy,27
348,HIMX,Himax Technologies,26
217,DISCA,Discovery Communicz,26
494,MRO,Marathon Qil Corporat,24
682,SQ,Square,23
374,ICE,Intercontinental Exchze,23
599,PNC,PNC Financial,22
205,DBX,Dropbox,22
391,IQ,iQIYI,21
341,HD,Home Depot,21
77,BABA,Alibaba,21
716,TGT,Target,20
755,UNH,UnitedHealth,19
797,WIX,Wix.com Ltd,18
657,SHOP,Shopify,18
530,NOV,National Oilwell Varco,16
750,UBER,Uber,15
553,O,Realty Income,15
413,KAR,KAR Auction Services,14
234,EA,Electronic Arts,13
579,PCG,PG&E Corporation,12
794,WFC,Wells Fargo,10
670,SNAP,Snap,10
18,AG,First Majestic Silver C,8
412,K,Kellogg's,7
623,REAL,RealReal,7
500,MSP,Datto Holding Corp,5
180,CRM,Salesforce,5
650,SE,Sea Limited,4
